"index","payment_date","userid","price","payment_period"
"0","2016-08-10T00:00:00.000Z","0014163a53056db3f10e","5000","2016-08-01T00:00:00.000Z"
"1","2016-09-10T00:00:00.000Z","0014163a53056db3f10e","5000","2016-09-01T00:00:00.000Z"
"2","2016-10-10T00:00:00.000Z","0014163a53056db3f10e","5000","2016-10-01T00:00:00.000Z"
"3","2016-05-18T00:00:00.000Z","00164e47967b306239e8","5000","2016-05-01T00:00:00.000Z"
"4","2016-06-07T00:00:00.000Z","0016e5b445a29e9cbfcc","5000","2016-06-01T00:00:00.000Z"
"5","2016-07-07T00:00:00.000Z","0016e5b445a29e9cbfcc","5000","2016-07-01T00:00:00.000Z"
"6","2016-08-07T00:00:00.000Z","0016e5b445a29e9cbfcc","5000","2016-08-01T00:00:00.000Z"
"7","2016-09-07T00:00:00.000Z","0016e5b445a29e9cbfcc","5000","2016-09-01T00:00:00.000Z"
"8","2016-10-07T00:00:00.000Z","0016e5b445a29e9cbfcc","5000","2016-10-01T00:00:00.000Z"
"9","2016-11-07T00:00:00.000Z","0016e5b445a29e9cbfcc","5000","2016-11-01T00:00:00.000Z"
"10","2016-12-07T00:00:00.000Z","0016e5b445a29e9cbfcc","5000","2016-12-01T00:00:00.000Z"
"11","2017-01-07T00:00:00.000Z","0016e5b445a29e9cbfcc","5000","2017-01-01T00:00:00.000Z"
"12","2017-02-07T00:00:00.000Z","0016e5b445a29e9cbfcc","5000","2017-02-01T00:00:00.000Z"
"13","2016-11-14T00:00:00.000Z","002e4faffad3be6b0f95","5000","2016-11-01T00:00:00.000Z"
"14","2016-12-14T00:00:00.000Z","002e4faffad3be6b0f95","5000","2016-12-01T00:00:00.000Z"
"15","2017-01-14T00:00:00.000Z","002e4faffad3be6b0f95","5000","2017-01-01T00:00:00.000Z"
"16","2016-06-06T00:00:00.000Z","003ef43de19023179562","5000","2016-06-01T00:00:00.000Z"
"17","2016-07-06T00:00:00.000Z","003ef43de19023179562","5000","2016-07-01T00:00:00.000Z"
"18","2016-08-06T00:00:00.000Z","003ef43de19023179562","5000","2016-08-01T00:00:00.000Z"
"19","2016-09-06T00:00:00.000Z","003ef43de19023179562","5000","2016-09-01T00:00:00.000Z"
"20","2016-10-06T00:00:00.000Z","003ef43de19023179562","5000","2016-10-01T00:00:00.000Z"
"21","2016-11-06T00:00:00.000Z","003ef43de19023179562","5000","2016-11-01T00:00:00.000Z"
"22","2016-12-06T00:00:00.000Z","003ef43de19023179562","5000","2016-12-01T00:00:00.000Z"
"23","2017-01-06T00:00:00.000Z","003ef43de19023179562","5000","2017-01-01T00:00:00.000Z"
"24","2017-02-06T00:00:00.000Z","003ef43de19023179562","5000","2017-02-01T00:00:00.000Z"
"25","2016-12-09T00:00:00.000Z","00402661d6fb30a9755b","5000","2016-12-01T00:00:00.000Z"
